id	time	latitude	longitude
22020	720699	50.944581	6.983246
22020	721011	50.910343	6.962690
22020	721097	50.954760	6.965960
22020	721205	50.921911	6.914070
22020	721221	50.890720	7.063831
22020	721594	50.938932	7.008705
22020	72210	50.921520	6.961972
22020	722248	50.938405	6.922217
22020	722800	50.926598	7.088276
22020	723086	50.999656	6.919006
22020	723137	50.933291	6.976785
22020	723229	50.971766	7.051147
22020	723562	50.914220	6.951429
22020	72365	50.967846	7.036615
22020	723820	50.981961	7.023848
22020	7240	50.927214	7.062287
22020	724015	50.944921	6.953179
22020	724234	50.884205	7.081484
22020	724282	50.968961	6.868601
22020	724679	50.925391	6.915213
22020	724986	50.927801	6.943839
22020	72510	50.992340	6.962179
22020	725116	50.995085	6.884240
22020	725285	50.897305	7.038236
22020	725612	50.904567	7.064192
22020	725721	50.940351	7.022348
22020	725742	50.881708	7.089434
22020	726094	50.884011	7.055656
22020	726324	51.053156	6.845320
22020	726363	50.906294	6.912667
22020	726475	50.937891	6.900035
22020	726897	50.938040	6.845388
22020	727129	51.040084	6.901513
22020	727687	50.888903	6.997353
22020	727873	50.954847	6.869920
22020	728020	50.969034	7.006677
22020	728076	50.901983	6.982746
22020	728180	50.950553	6.867786
22020	728278	50.999588	6.919530
22020	728411	50.890108	6.980526
22020	728823	50.923868	6.953233
22020	72910	50.886883	6.971424
22020	729141	50.935228	6.951729
22020	729853	50.968340	6.939165
22020	729917	51.000924	6.912311
22020	73004	50.883578	7.105024
22020	730342	50.888738	6.976471
22020	730561	50.928675	6.919349
22020	730911	50.934303	6.937955
22020	73101	50.924674	6.914041
22020	731064	50.958697	6.897810
22020	731088	50.935467	6.931741
22020	731169	50.966330	6.958790
22020	731425	50.892328	6.993149
22020	731453	50.910751	6.962573
22020	731640	50.934580	6.939026
22020	731651	50.930696	7.040114
22020	731852	50.899845	6.965699
22020	732056	50.970719	7.008931
22020	732169	50.974427	7.063157
22020	732204	50.940224	7.017682
22020	732671	50.970469	7.054527
22020	732919	50.962669	7.000680
22020	732929	50.854075	7.101938
22020	73361	50.999836	6.913893
22020	733716	50.969470	7.006747
22020	734016	50.931290	6.953419
22020	734360	50.916795	6.869399
22020	734654	50.886725	7.055799
22020	735145	50.957476	6.956983
22020	735210	50.947172	6.944954
22020	735647	50.914686	6.947392
22020	735749	50.909885	6.945135
22020	735956	50.974978	6.936433
22020	736366	50.955454	6.915850
22020	736477	50.955066	6.966617
22020	736488	50.943010	7.001447
22020	736743	50.930361	6.922068
22020	736829	50.922434	7.031653
